Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
1,2015,Andhra Pradesh,Andhra Pradesh_Zone1,south,11779429,316201,12757,dirt road,40.14,0,0,0,0,0,0.3,0.611,0.578,0,18.343,60.7,0.0,0.7896,57090,98859,995
2,2015,Andhra Pradesh,Andhra Pradesh_Zone2,south,14265254,150787,8202,proper road,59.64,0,0,0,0,0,0.26,0.569,0.617,1,7.087,45.92,0.083,0.4835,17764,32397,311
3,2015,Andhra Pradesh,Andhra Pradesh_Zone3,south,15023427,212094,6441,proper road,32.24,0,0,1,0,0,0.28,0.779,0.682,0,9.668,45.85,0.167,0.9334,34749,56972,587
4,2015,Andhra Pradesh,Andhra Pradesh_Zone4,south,11927515,177673,13759,proper road,48.26,0,0,0,0,0,0.275,0.621,0.645,1,18.306,42.61,0.25,0.4382,23751,39199,409
5,2015,Andhra Pradesh,Andhra Pradesh_Zone5,south,16897074,249438,8604,proper road,50.21,0,0,0,1,0,0.598,0.588,0.605,0,17.909,56.81,0.333,0.4821,24604,43436,437
6,2015,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,2777198,187901,3589,proper road,32.04,0,0,0,0,0,0.438,0.361,0.488,0,84.918,73.74,0.0,0.6781,120052,203153,2262
7,2015,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,3665226,257495,7742,damaged road,82.24,1,0,0,0,0,0.405,0.447,0.498,1,65.115,60.25,0.083,2.4279,320647,964810,42476
8,2015,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,2547378,150334,4234,proper road,91.29,1,0,0,0,0,0.109,0.469,0.519,0,47.245,69.28,0.167,1.5024,179612,487148,14094
9,2015,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,1748887,160673,9620,proper road,39.42,0,0,0,0,0,0.284,0.421,0.566,1,112.774,52.03,0.25,0.5929,150188,250569,2763
10,2015,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,1833575,262466,5607,proper road,32.65,0,0,0,0,0,0.681,0.463,0.552,0,126.862,64.49,0.333,0.5818,321677,517380,5860
11,2015,Assam,Assam_Zone1,north_east,24357803,98266,5896,dirt road,83.12,1,0,1,0,0,0.222,0.778,0.621,0,5.0,54.51,0.0,2.176,19871,54434,1405
12,2015,Assam,Assam_Zone2,north_east,20246589,45505,5146,damaged road,69.42,1,0,0,0,0,0.259,0.814,0.56,1,5.0,52.74,0.083,2.2005,11296,29800,1462
13,2015,Assam,Assam_Zone3,north_east,21266860,55690,6420,dirt road,72.23,1,0,0,0,0,0.221,0.782,0.504,0,5.0,71.47,0.167,1.6567,10534,27108,799
14,2015,Assam,Assam_Zone4,north_east,22468713,73342,8377,proper road,42.69,0,0,0,0,1,0.471,0.874,0.543,1,5.0,54.89,0.25,0.7832,7742,14016,138
15,2015,Assam,Assam_Zone5,north_east,23287945,60989,5207,dirt road,90.85,1,0,1,0,0,0.193,0.903,0.553,0,5.0,64.36,0.333,2.1614,13180,38828,940
16,2015,Bihar,Bihar_Zone1,east,13026942,180535,5871,damaged road,63.24,1,0,0,0,0,0.097,0.777,0.574,0,11.613,61.35,0.0,2.2099,64552,165488,8141
17,2015,Bihar,Bihar_Zone2,east,11096485,81419,4147,proper road,48.63,0,0,0,0,0,0.177,0.675,0.54,1,7.5,55.21,0.083,0.4844,12521,22451,228
18,2015,Bihar,Bihar_Zone3,east,6697269,144846,4469,dirt road,77.2,1,0,1,0,0,0.508,0.729,0.533,0,12.509,67.2,0.167,2.262,97913,277834,7387
19,2015,Bihar,Bihar_Zone4,east,9681921,99004,2819,proper road,65.7,1,0,0,0,0,0.258,0.739,0.659,1,11.367,40.91,0.25,1.2692,30839,65991,2173
20,2015,Bihar,Bihar_Zone5,east,6385762,91678,2344,proper road,85.6,0,0,0,0,0,0.213,0.717,0.482,0,13.405,74.55,0.333,0.5039,24166,56216,448
21,2015,Chhattisgarh,Chhattisgarh_Zone1,central,19343110,113109,10832,dirt road,62.7,1,0,1,0,0,0.221,0.92,0.604,0,6.349,57.07,0.0,2.1175,27510,69304,2019
22,2015,Chhattisgarh,Chhattisgarh_Zone2,central,16873493,200805,17852,proper road,92.48,1,0,0,0,1,0.081,0.899,0.653,1,6.227,41.63,0.083,1.5934,42850,109635,3006
23,2015,Chhattisgarh,Chhattisgarh_Zone3,central,12124095,227294,13981,damaged road,77.78,0,0,0,0,0,0.113,0.841,0.527,0,23.927,68.15,0.167,1.311,57451,141291,4258
24,2015,Chhattisgarh,Chhattisgarh_Zone4,central,20959965,237426,7469,damaged road,62.84,1,0,0,0,0,0.323,0.914,0.584,1,16.425,49.95,0.25,2.1341,51531,130856,6569
25,2015,Chhattisgarh,Chhattisgarh_Zone5,central,19297633,183773,9823,proper road,73.71,1,0,0,0,0,0.283,0.895,0.599,0,9.994,57.68,0.333,1.2328,29079,66710,2039
26,2015,Goa,Goa_Zone1,west,5170975,260968,7153,proper road,35.47,0,0,1,0,0,0.231,0.482,0.849,0,73.025,21.71,0.0,0.9647,116307,176459,1752
27,2015,Goa,Goa_Zone2,west,8843127,222037,5912,damaged road,37.23,0,0,0,0,0,0.197,0.534,0.826,1,27.199,20.85,0.083,1.2548,72764,121585,4537
28,2015,Goa,Goa_Zone3,west,5637723,299631,3276,damaged road,32.81,0,0,0,0,0,0.17,0.471,0.808,0,54.365,27.59,0.167,1.2988,151445,253815,9612
29,2015,Goa,Goa_Zone4,west,6975039,235292,6936,damaged road,32.95,0,0,1,0,1,0.159,0.462,0.699,1,28.782,36.16,0.25,2.3799,298891,643644,20167
30,2015,Goa,Goa_Zone5,west,6135321,270990,7578,proper road,89.21,1,0,0,0,0,0.628,0.562,0.776,0,57.876,32.32,0.333,1.2763,175239,389236,11464
